core_rank_35_30_35,cod_ativo,data,score_general_35_30_35,score_high_value,score_high_short_interest,score_low_momentum,tail_35_30_35,quality_score,quality_percentile_high_is_better,quality_quartile_1_best_4_worst,components_available,valid_for_core,quality_data,quality_age_days
11,EZTC3,2026-08-12,0.9232525129068305,0.990821550610877,0.7422448069211576,1.0108329374762182,P90,65.36959623460363,0.7191780821917808,2.0,3,True,2026-07-30,13.0
12,RAIL3,2026-08-12,0.893284890048518,2.055195444668428,-0.1960185218834652,0.6650629742274505,P90,52.73612441358271,0.4931506849315068,3.0,3,True,2026-07-30,13.0
13,EVEN3,2026-08-12,0.8893349855547962,1.3016495595545667,0.5502298745813827,0.7676819352465228,,53.21461068116802,0.5068493150684932,2.0,3,True,2026-07-30,13.0
14,GRND3,2026-08-12,0.8727030233466648,0.0841675447233053,1.8379164835745816,0.8339126789175244,,71.01620918229482,0.7808219178082192,1.0,3,True,2026-07-30,13.0
15,RENT3,2026-08-12,0.8691258549605874,2.091478837932051,-0.7709579112554469,1.0525589573171537,,46.6676873146364,0.3698630136986301,3.0,3,True,2026-07-30,13.0
16,PGMN3,2026-08-12,0.8093308693129637,1.7606973350003543,-0.9044567829359696,1.3269252484103735,,52.75398220092861,0.5,3.0,3,True,2026-07-30,13.0
17,POMO4,2026-08-12,0.7543476270257051,0.8612798215658571,-0.4406077927961946,1.6716629351900385,,74.09535618726984,0.8287671232876712,1.0,3,True,2026-07-30,13.0
18,SMTO3,2026-08-12,0.7369806739244287,0.6667189989556389,0.5681363323464734,0.9519660702457516,,30.577149901118293,0.1438356164383561,4.0,3,True,2026-07-30,13.0
19,MDIA3,2026-08-12,0.6736635088902506,0.753120661709165,-0.3023573313513344,1.4307956477069808,,73.01836775717372,0.821917808219178,1.0,3,True,2026-07-30,13.0
20,VAMO3,2026-08-12,0.6685469941789477,0.6761614740097063,0.8123125900806423,0.5377048607181654,,62.17439627366099,0.6712328767123288,2.0,3,True,2026-07-30,13.0
21,DIRR3,2026-08-12,0.6219453711513231,0.5921777896148721,0.540296821706476,0.7216974236405004,,80.87396057386088,0.9178082191780822,1.0,3,True,2026-07-30,13.0
22,TAEE11,2026-08-12,0.6099702087636583,-0.2056884015159069,2.7299922062680797,-0.3915328931034236,,29.509648726066636,0.1232876712328767,4.0,3,True,2026-07-30,13.0
23,SOJA3,2026-08-12,0.5796943526559495,-1.478670912950504,2.7299922062680797,0.7949471723091486,,14.950444598161893,0.0205479452054794,4.0,3,True,2026-07-30,13.0
24,KEPL3,2026-08-12,0.532556453600078,-0.0794205798220262,0.2874921585058796,1.3545885971029237,,48.59050539695619,0.4041095890410959,3.0,3,True,2026-07-30,13.0
25,POMO3,2026-08-12,0.5232499706600571,0.4281048115766804,-0.8908556786753279,1.8304856863166208,,,,,3,True,,
26,BRBI11,2026-08-12,0.5055026870287469,0.001108164851856,-0.4518505362673999,1.8304856863166208,,54.09421425815165,0.5273972602739726,2.0,3,True,2026-07-30,13.0
27,JHSF3,2026-08-12,0.4761981062756399,0.3416611433519051,1.848694459385628,-0.5656903763234722,,76.23624302728781,0.8698630136986302,1.0,3,True,2026-07-30,13.0
28,AZZA3,2026-08-12,0.4605648067268646,-0.1982617991207926,1.6320926889009626,0.115224656425295,,38.22453373915222,0.2191780821917808,4.0,3,True,2026-07-30,13.0
29,CYRE3,2026-08-12,0.46001866009831127,0.3560118741041692,1.464053009337969,-0.2965754246843961,,60.39980241673277,0.6438356164383562,2.0,3,True,2026-07-30,13.0
30,PRNR3,2026-08-12,0.45992354204695385,2.027596452320282,-0.2041917583075172,-0.5385076822082561,,41.88271899668958,0.2808219178082192,3.0,3,True,2026-07-30,13.0
31,VIVA3,2026-08-12,0.42953291409367,0.4770139914678774,0.758610167239711,0.0999856197371419,,60.8753958488932,0.6575342465753424,2.0,3,True,2026-07-30,13.0
32,SBFG3,2026-08-12,0.4159279403503172,1.1987242239314544,-1.0860717078117157,0.9205599266223512,,43.0097576360808,0.2876712328767123,3.0,3,True,2026-07-30,13.0
33,VTRU3,2026-08-12,0.40918511262852336,2.490028885151443,-1.20190975919807,-0.2907201983287446,,72.4010889349439,0.8013698630136986,1.0,3,True,2026-07-30,13.0
34,LREN3,2026-08-12,0.36524787516201607,0.904209790620148,-0.0560132713067752,0.1873669423914196,,79.01009740194017,0.8972602739726028,1.0,3,True,2026-07-30,13.0
35,MOTV3,2026-08-12,0.35282049181934566,1.8157319777483865,-0.7866828919759485,-0.1333738079994431,,52.624650889301904,0.4863013698630137,3.0,3,True,2026-07-30,13.0
36,TOTS3,2026-08-12,0.34271866755013963,2.0728631386166896,-0.8953335235843441,-0.3262382111154244,,69.6469115430029,0.773972602739726,1.0,3,True,2026-07-30,13.0
