month,date,source_file,IBOV,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2011-12,2011-12-30,grid_u4lflnxf.xlsx,89.89050539408605,73.10498100994253,77.68375588030196,45.05646684778991,73.97578210439441,52.8191464257773,34.85309252714895,38.87721921764813,,84.35218158846321,80.7534129300274,64.86473245553776
2012-01,2012-01-31,grid_u4lflnxf.xlsx,84.7361013934513,68.20091024120991,68.90555612059319,47.299729470297166,73.1466253123277,53.155130287232254,36.77568760043851,37.35908482010041,,82.5970940505032,80.91026941264846,65.92721453791009
2012-02,2012-02-29,grid_u4lflnxf.xlsx,75.95087452124766,67.74176179034919,66.12233617820678,46.45027891609814,68.01613587905311,52.86636688693701,37.8560394646098,37.720661500686596,,72.05837209838492,82.31626524401909,67.11756720652576
2012-03,2012-03-30,grid_u4lflnxf.xlsx,75.00193998290734,68.7235310253382,66.08024959947056,49.45018114352613,69.38731269480533,53.285219538635,38.15272226182087,41.11776335842038,,70.30453662364962,84.4934280603833,66.46744071300351
2012-04,2012-04-30,grid_u4lflnxf.xlsx,74.81905264248782,51.372384789087135,63.7472093429734,50.20890144083218,68.49244860788868,51.20779893463262,39.32926063190685,43.78974754885985,,71.38435529117308,83.08510028004157,70.42861506843643
2012-05,2012-05-31,grid_u4lflnxf.xlsx,79.63429469241265,52.65542634679756,60.983222855133626,51.94327149541493,71.77656633331196,53.74769259587485,36.117459065506964,45.367820624222766,,77.73330968090077,84.58004673972896,71.1104348333107
2012-06,2012-06-29,grid_u4lflnxf.xlsx,80.04198270007693,51.436600567786506,57.015868403057,51.08976871757972,78.12596412464778,52.46208518691684,36.11898242501181,45.89053154754896,,81.11744080804817,86.85961490450265,71.177600876684
2012-07,2012-07-31,grid_u4lflnxf.xlsx,75.53783395034598,48.6166514929704,54.1373827871923,50.74271645730325,78.87839653490738,52.060113290459554,37.26168606637919,44.9229901608688,,70.44875581510524,82.32695910067467,73.73345925495545
2012-08,2012-08-31,grid_u4lflnxf.xlsx,71.59310152261374,47.82938953014591,48.245582467927726,48.69899534666144,76.53289297393991,52.92994420869872,36.72784648411771,44.620153096800664,,63.24568410793595,89.11879741949461,75.1338242016547
2012-09,2012-09-28,grid_u4lflnxf.xlsx,69.52868073882938,47.352987515070936,46.54095558397231,52.27904580973013,65.74489709495067,49.6438136683807,38.10699432134223,44.231742315756186,,57.502027165795255,88.35754220878637,68.6347681781724
