month,date,source_file,IBOV,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Not Classified
2010-07,2010-07-30,grid_20qvjmd3.xlsx,10157.3473649416,748.0841530662,658.5066679494,2013.4330910145,27045.6020456823,7278.446862614,,346.4038837569,,15976.9167406269,,1820.3868944764,1101.0132319001
2010-08,2010-08-31,grid_20qvjmd3.xlsx,10478.9497789164,793.0398345657,693.3080616973,2092.0383510579,26043.1805735969,7309.0783400432,,349.1379195881,,17641.2324901528,,1804.8884684769,1063.7802752556
2010-09,2010-09-30,grid_20qvjmd3.xlsx,11407.2372415397,813.2931876239,714.3235488431,1830.6057305408,25585.3534653899,7861.7464731104,,388.9568936178,,18750.0410601558,,1847.9593915774,1144.7836852977
2010-10,2010-10-29,grid_20qvjmd3.xlsx,11592.0156282558,998.5752953865,745.6496537702,1988.4923283676,25890.2192560051,8039.1425945374,,409.9445535775,,19473.670049468,,1885.7993091111,1106.566270726
2010-11,2010-11-30,grid_20qvjmd3.xlsx,12019.0125511685,1050.263438014,770.5583287239,2063.1691288027,26577.3965953684,8203.9961031094,,429.8897877037,,20625.6331557791,,1877.8978624342,1119.1338538425
2010-12,2010-12-31,grid_20qvjmd3.xlsx,12597.8633879485,1081.8308536534,796.7635569855,2149.2761464495,28108.4595888069,8337.9012886036,,490.4190985567,,20834.8454090308,,1741.8560844764,1154.9933405019
2011-01,2011-01-31,grid_u4lflnxf.xlsx,13177.5163218255,1126.5084946727,813.823818924,1953.6148351802,27471.7172135821,8650.6158009251,554.6545479344,495.6393780899,,21251.8723283012,,1773.2683659766,1189.0901067774
2011-02,2011-02-28,grid_u4lflnxf.xlsx,13431.2669381568,1141.2273017244,825.2048575232,1968.4379398901,26929.3029852374,8864.1092810686,554.5053686557,496.290567899,,21797.3181102446,,1900.2078528719,1206.2501192496
2011-03,2011-03-31,grid_u4lflnxf.xlsx,13213.0492168076,1183.8904661743,816.0730206979,2026.2886476501,27197.9224803103,8887.4956425418,549.8488248306,503.5199908637,,21365.3467864683,,1844.7871981858,1196.922704005
2011-04,2011-04-29,grid_u4lflnxf.xlsx,13174.7446615963,1236.4062459619,771.0709361806,2106.0355415409,27678.808036833,8780.3505616085,561.7207984262,537.4955870327,,22602.4155235399,,1807.6411504251,1192.0052435359
2011-05,2011-05-31,grid_u4lflnxf.xlsx,12498.0567318548,1319.9249367674,790.075864851,2435.7213562732,26793.3038270447,8103.5484130568,553.0475275191,520.8882852085,,21850.6332452895,,1752.0980053611,1139.2069275141
2011-06,2011-06-30,grid_u4lflnxf.xlsx,13424.2893837919,2389.7870647694,787.4419924644,2510.4603908635,28449.1181149492,9452.6372133544,525.4246025792,515.0624623386,,22756.2240533617,,1795.0593674208,921.371915574
2011-07,2011-07-29,grid_u4lflnxf.xlsx,14082.4292593319,2929.4215102342,786.7087112515,2490.1949147087,29939.8687573529,9316.5435544272,545.8681822076,494.3743968192,,23901.6559763312,,1759.9508968575,847.7228396374
2011-08,2011-08-31,grid_u4lflnxf.xlsx,13480.6643563939,2994.2119113416,768.6649492088,2898.5980283492,31037.4498452394,9078.7948755107,438.4706773333,491.5584673562,,22698.7036046967,,1807.9884465755,826.0067197808
