month,Energy reported,IBOV,Brava Energia,Oleo e Gas Participacoes,PRIO,PetroReconcavo,Petrobras,Ex-Petrobras dynamic,Ex-Petrobras core (PRIO + Brava)
2020-03,13820.3484721096,12131.0251006431,,,,,13820.3484721096,,
2020-04,6703.70999364384,10238.6557084517,,,,,6703.70999364384,,
2020-05,2076.51467993425,9576.3665825991,,,,,2076.51467993425,,
2020-06,-1170.54291743562,8906.9785976356,,,,,-1170.54291743562,,
2020-07,2054.68929543014,9429.4736035546,,,,,2054.68929543014,,
2020-08,6956.85582343014,10412.2704765741,,,,,6956.85582343014,,
2020-09,10949.8817375326,11661.7103528959,,,701.178082191781,,11253.9853024438,701.178082191781,
2020-10,19121.6516448055,14070.5989312673,,,689.632876712329,,19631.0804788603,689.632876712329,
2020-11,26183.0264269763,16663.0220148499,,,734.816438356164,,27031.5609550904,734.816438356164,
2020-12,33166.803124274,17136.888024143,,,1102.0,,34519.699456,1102.0,
2021-01,34392.6143611611,19470.4803433839,,,1117.64507388493,,35886.0106934356,1117.64507388493,
2021-02,37844.58279833,21360.5583328133,,,1154.38081192329,,40737.3299263123,1154.38081192329,
2021-03,43905.3574941516,24107.4802086203,,,1368.47181676712,,47324.8933523288,1368.47181676712,
2021-04,55462.9627999883,27876.2453567844,,,1380.12907835616,,59894.081676274,1380.12907835616,
2021-05,55670.2483266638,26368.0874790811,,,1392.17491533151,,59614.1361685041,1392.17491533151,
2021-06,62837.152712688,27658.9707358983,,,1556.00622711233,,66787.5196030247,1556.00622711233,
2021-07,63328.9639817172,29127.3175263349,,,1647.89591390685,,67324.2802035726,1647.89591390685,
2021-08,67138.0184479993,28384.9395133663,,,1655.71373589041,,71636.6058089205,1655.71373589041,
2021-09,68014.0385750471,26596.8694792006,,,1800.38356164384,,74310.2949235726,1800.38356164384,
2021-10,76278.1816544336,27010.4924005158,,,1792.2157241863,,82969.3378335562,1792.2157241863,
2021-11,87991.2021795825,27359.8042853086,,,1764.21231412603,,94168.6173976548,1764.21231412603,
2021-12,87803.1219232073,27028.5191873772,,,1850.749952,,94144.397312,1850.749952,
2022-01,85992.8495500006,28151.2120295504,1403.04929174795,,1801.62116208219,,95603.3033426411,3204.67045383014,3204.67045383014
2022-02,85366.793760845,30026.3429480347,1552.59925672329,,1689.4648249863,,94753.2458741479,3242.06408170959,3242.06408170959
2022-03,100411.172772043,32087.0992383976,1676.99659572603,,2121.67365435616,,111657.208004384,3798.6702500821903,3798.6702500821903
2022-04,102698.618525494,34307.4987619675,1870.13049582466,,2572.0218182137,,116580.576707682,4442.15231403836,4442.15231403836
2022-05,108357.285271325,35005.2630952866,1884.4269778411,,2686.35856026301,,123853.803194564,4570.78553810411,4570.78553810411
2022-06,118723.990894534,36390.7902981754,1503.39236050411,,2744.0456914411,,132833.863001074,4247.43805194521,4247.43805194521
2022-07,121159.615932195,36053.5630492353,1626.668768,,3076.45707923288,,133718.851135123,4703.12584723288,4703.12584723288
2022-08,124115.28047713,34794.3544167372,2041.58279153973,,3930.32946884384,,138654.931690258,5971.912260383569,5971.912260383569
2022-09,117964.72608924,33165.1950785359,2291.63181326027,,4103.86167092603,,133333.465003836,6395.4934841863,6395.4934841863
