block,signal_date,entry_date,exit_date,long_return,short_underlying_return,pure_spread_return,overlay_excess_return,cdi_return,strategy_block_return
57,2019-05-13,2019-05-14,2019-06-12,0.02212033619378127,0.02284609864109673,-0.0013435425328461015,-0.00023550737241437005,0.005182948902365592,0.004947441529951221
58,2019-06-12,2019-06-13,2019-07-16,0.0743207583973332,0.08903865137057676,-0.014274371504589324,-0.006957730993032735,0.0054304249443852814,-0.0015273060486474532
59,2019-07-16,2019-07-17,2019-08-15,-0.04186870758101597,0.047168125901095335,-0.08803705305745202,-0.04466978274451194,0.004976363507350534,-0.03969341923716141
60,2019-08-15,2019-08-16,2019-09-16,0.01391847725161768,-0.022799960125174483,0.032862195381403364,0.016785232258050748,0.004788595446280519,0.021573827704331267
61,2019-09-16,2019-09-17,2019-10-16,-0.026320543861884958,0.07713557923665669,-0.09750621447871276,-0.04976575788455913,0.004411149145403304,-0.045354608739155824
62,2019-10-16,2019-10-17,2019-11-18,0.008162343267781392,0.057441676939157124,-0.04815616548984665,-0.024097474230111323,0.004164917017900116,-0.019932557212211207
63,2019-11-18,2019-11-19,2019-12-19,0.16052421182206675,0.17786233656512354,-0.015417872461222473,-0.007492709225030853,0.004070827492022033,-0.0034218817330088193
64,2019-12-19,2019-12-20,2020-01-24,0.14828272635667764,0.15529244487148308,-0.0062496707335432545,-0.003011411347501803,0.003937867304057097,0.0009264559565552938
65,2020-01-24,2020-01-27,2020-02-27,-0.12606146730348175,-0.1039755781682691,-0.028582978269684093,-0.014090335822580227,0.0034611013641068222,-0.010629234458473405
66,2020-02-27,2020-02-28,2020-03-30,-0.3178062467785318,-0.3486032705818271,0.027978001169840824,0.015020468884783844,0.0032409603932248565,0.018261429278008702
67,2020-03-30,2020-03-31,2020-05-04,0.14206441564738562,0.10019581182644537,0.042080780327316034,0.02191044187467374,0.0029919243904994453,0.024902366265173184
68,2020-05-04,2020-05-05,2020-06-03,0.2023476593103628,0.13497589794155582,0.06163949253459055,0.03292006884427325,0.002414040295693587,0.03533410913996684
69,2020-06-03,2020-06-04,2020-07-06,0.012385030128999735,0.06274309123900669,-0.047850865950605094,-0.023193461224875193,0.002006973479770746,-0.021186487745104447
70,2020-07-06,2020-07-07,2020-08-05,-0.005946912865565134,0.10133417150238576,-0.10010249929868306,-0.05078355204421277,0.0017743174151299002,-0.04900923462908287
71,2020-08-05,2020-08-06,2020-09-04,0.016499820737054756,-0.014554098747151164,0.03050866768341065,0.015489224019017056,0.0015696620595304633,0.017058886078547518
72,2020-09-04,2020-09-08,2020-10-07,-0.05292322858582383,-0.027861167206156324,-0.025993393776062468,-0.012784280988095031,0.0015696620595304633,-0.011214618928564568
73,2020-10-07,2020-10-08,2020-11-10,0.05976738728034597,0.07404889545638546,-0.014883108370091547,-0.006916889752771608,0.0015696620595304633,-0.005347227693241145
74,2020-11-10,2020-11-11,2020-12-10,0.12331048479675098,0.07602693477128522,0.044100566285251414,0.02213623268257513,0.0015696620595304633,0.023705894742105594
75,2020-12-10,2020-12-11,2021-01-18,-0.013378797348553101,0.0795617927430188,-0.08748743760686752,-0.04416174266397283,0.0017941005361834517,-0.04236764212778938
