signal_index,signal_date,entry_date,exit_date,n_long,n_short,long_return,short_underlying_return,pure_spread_return,overlay_excess_return,long_quality_mean,short_quality_mean,raw_dispersion_z,sma21_z,sma21_high_cross,bucket
1594,2020-10-22,2020-10-23,2020-11-24,10,10,0.009332428233807996,0.0254778803231427,-0.01765680271008376,-0.008203823249653833,65.06609263867458,51.01865533595861,0.1117538801310913,0.7552151012560968,False,+0.5 to +1.5
1595,2020-10-23,2020-10-26,2020-11-25,10,10,0.02398700493630478,0.02636593480261729,-0.00388887445552327,-0.0013448426227935253,65.06609263867458,53.34118192213657,0.25553933208169,0.6673761839800961,False,+0.5 to +1.5
1596,2020-10-26,2020-10-27,2020-11-26,10,10,0.05908674540810662,0.00047371228094378315,0.05790525049259521,0.029205720613138836,62.64533625944394,49.54421235233541,0.4547208026633873,0.5904667927059769,False,+0.5 to +1.5
1597,2020-10-27,2020-10-28,2020-11-27,10,10,0.11226899006054838,0.04940083814516129,0.05819807894900738,0.02937639223166323,62.302981712133416,46.11663798072895,0.5768960786879708,0.5242270050417004,False,+0.5 to +1.5
1598,2020-10-28,2020-10-29,2020-11-30,10,10,0.10222053920342276,0.026520963462578106,0.07241832322135862,0.036368378174092185,62.645336259443944,46.11663798072895,1.129293289425744,0.493155119476889,False,-0.5 to +0.5
1599,2020-10-29,2020-10-30,2020-12-01,10,10,0.154832581562071,0.07208890444637919,0.07646949571113484,0.03807905335009187,64.16616210921141,48.90839181404502,0.9903098262119588,0.4447910303556417,False,-0.5 to +0.5
1600,2020-10-30,2020-11-03,2020-12-02,10,10,0.17066576137363454,0.05943929527972398,0.10522062402062166,0.0517519689616985,64.16616210921143,49.419610204437376,0.8674953563766642,0.4621040091940564,False,-0.5 to +0.5
1601,2020-11-03,2020-11-04,2020-12-03,10,10,0.13456637511922864,0.05464412798162978,0.07525187209867044,0.03741303280632448,65.76567002353062,49.59313286467252,0.8040705718651221,0.5124564050091178,False,+0.5 to +1.5
1602,2020-11-04,2020-11-05,2020-12-04,10,10,0.1310917344355214,0.03465719232056439,0.09186656673079324,0.04553878682583231,61.40693379174981,47.94242873738155,-0.1262918083593623,0.5098898727986477,False,+0.5 to +1.5
1603,2020-11-05,2020-11-06,2020-12-07,10,10,0.11003249181530497,0.03330962786448042,0.07384445491558844,0.036703151807437426,66.01349619763369,46.292604373904815,-0.0994505932294186,0.4640641866999502,False,-0.5 to +0.5
